month_idx,is_exam,is_festival,avg_prev3,total_spend
10,0,1,9360,11420
11,1,0,8596,9132
12,0,1,9930,10356
1,0,1,9327,11407
2,0,0,8675,9063
3,1,0,8474,8252
4,1,0,8851,8531
5,0,0,8017,10000
6,0,0,8863,8843
7,0,0,9231,8517
8,0,0,9250,8707
9,0,0,9235,8246
10,0,1,9293,11319
11,1,0,8597,8151
12,0,1,9499,10530
1,0,1,9595,12030
2,0,0,9030,8935
3,1,0,8494,8234
4,1,0,8868,7864
5,0,0,9445,8690
6,0,0,8851,8634
7,0,0,8598,9886
8,0,0,8716,8949
9,0,0,8842,8291
10,0,1,9377,12175
11,1,0,8153,8442
12,0,1,9776,11927
1,0,1,9745,10769
2,0,0,8756,9005
3,1,0,8820,8360
4,1,0,8557,8621
5,0,0,9213,9619
6,0,0,8685,8624
7,0,0,8823,8672
8,0,0,9206,9065
9,0,0,8854,8872
10,0,1,8730,11538
11,1,0,8372,7980
12,0,1,9862,11540
1,0,1,9608,11625
2,0,0,9014,8661
3,1,0,8822,7307
4,1,0,8553,7268
5,0,0,9213,9421
6,0,0,8422,8336
7,0,0,9497,9169
8,0,0,9432,8770
9,0,0,8983,7852
10,0,1,8962,11791
11,1,0,8982,7571
12,0,1,9217,11020
1,0,1,9058,11417
2,0,0,8422,8983
3,1,0,8520,8584
4,1,0,8844,8035
5,0,0,8899,9475
6,0,0,9200,8326
7,0,0,9377,8985
8,0,0,9289,9656
9,0,0,8815,8984
10,0,1,9552,12156
11,1,0,8726,8695
12,0,1,9324,9935
1,0,1,9564,11542
2,0,0,9278,10217
3,1,0,8311,8675
4,1,0,9192,7463
5,0,0,8988,7851
6,0,0,9131,8825
7,0,0,8699,9647
8,0,0,8604,9185
9,0,0,8746,9118
10,0,1,9894,11248
11,1,0,9002,7803
12,0,1,9566,10389
1,0,1,9976,11501
2,0,0,9404,10294
3,1,0,8916,8815
4,1,0,8471,9185
5,0,0,8788,8545
6,0,0,9097,7737
7,0,0,8669,9281
8,0,0,8703,9151
9,0,0,9117,8480
10,0,1,9226,10584
11,1,0,8944,7703
12,0,1,9553,11769
1,0,1,9829,10723
2,0,0,9242,8602
3,1,0,8654,8540
4,1,0,9021,7565
5,0,0,9154,8561
6,0,0,8819,9476
7,0,0,9044,9146
8,0,0,9034,9714
9,0,0,9172,9222
10,0,1,9555,11866
11,1,0,9140,8086
12,0,1,9782,11817
1,0,1,9425,11140
2,0,0,9630,8611
3,1,0,8429,7984
4,1,0,8619,8521
5,0,0,9259,8473
6,0,0,8703,8337
7,0,0,8766,9688
8,0,0,8592,8965
9,0,0,9063,8497
10,0,1,9579,13592
11,1,0,9318,7674
12,0,1,9604,11980
1,0,1,9349,10900
2,0,0,8435,8560
3,1,0,8800,7836
4,1,0,8719,8589
5,0,0,8785,9244
6,0,0,9337,9028
7,0,0,9191,8577
8,0,0,8350,9338
9,0,0,8281,8857

